,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-20 08:52:42.125000000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,3299.7,0-15
1,U001,0200744019,TARG us,2020-04-01 06:48:09.546875000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,7821.114,
2,U001,0200418007,AM ,2020-03-20 05:28:19.312500000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,2467.913,
3,U001,0200739534,OK systems,2020-04-27 17:59:18.171875000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,84773.95499999999,
4,U001,0200353024,DECA corporation,2020-04-17 03:44:39.625000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,2608.2419999999997,
5,U001,0200744019,TARG associates,2020-04-03 06:56:27.031250000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,4125.107,
6,CA02,0140106408,WAL-M corp,2020-03-26 08:56:43.375000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,92832.27,0-15
7,U001,0200337148,COAS llc,2020-03-12 13:26:48.593750000,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,7966.580999999999,
8,U001,0200794332,COST associates,2020-04-17 06:46:13.031250000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,2704.7509999999997,
9,U001,0200794332,COST llc,2020-05-03 02:39:25.125000000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,52117.106999999996,
10,U001,0200803720,DEC corp,2020-03-29 07:34:20.437500000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,97.02,
